product_id,title,authors,original_price,current_price,quantity,category,n_review,avg_rating,pages,manufacturer,cover_link
188695904,GIẬN (TBL22),Thích Nhất Hạnh,135000,116000,1802.0,GIẬN (TBL22),145,5.0,248.0,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/56/4a/55/ded53bb350d07e82bf01a2b819a0e100.jpg
160082484,Thực Hành Drucker,William A. Cohen,165000,99000,180.0,"Sách quản trị, lãnh đạo",12,4.8,392.0,Nhà Xuất Bản Dân Trí,https://salt.tikicdn.com/ts/product/98/a5/37/632737c8b712802d71a03ab533c8abdd.jpg
205033951,Một chỗ trong đời,Annie Ernaux,69000,51700,240.0,Tác phẩm kinh điển,14,5.0,98.0,Nhà Xuất Bản Hội Nhà Văn,https://salt.tikicdn.com/ts/product/17/ae/b5/0331341f5afd84a1845acd591572d710.jpg
43775511,Tiếng Hàn Tổng Hợp Dành Cho Người Việt Nam - Sơ Cấp 1 (Bản Đen Trắng),.,150000,120000,191.0,Sách Học Tiếng Hàn,57,5.0,378.0,,https://salt.tikicdn.com/ts/product/9c/4d/7e/f8d244f4ac8300935c4702647dfb51ec.jpg
204473050,Kinh Tế Học Vĩ Mô (2022),,288000,288000,36.0,Giáo Trình Đại Học - Cao Đẳng,1,5.0,,hong duc,https://salt.tikicdn.com/ts/product/f1/31/4d/7f4eec5037978756b691ad1997e6f8fa.jpg
194199552,Nghệ Thuật Thiết Lập Truyền Thông (TBL3),Thích Nhất Hạnh,95000,82100,165.0,Nghệ Thuật Thiết Lập Truyền Thông (TBL3),8,5.0,185.0,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/87/e0/62/6068400a3351faace31b661eb89f922a.jpg
87959745,Hạnh Phúc Là Con Đường,Hà Vĩnh Thọ,155000,93000,1349.0,Truyện ngắn - Tản văn - Tạp Văn,158,5.0,368.0,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/06/ed/f7/8d9de8007c05a442588005f1079948c6.jpg
197655112,Bản Đồ Tư Duy Trong Thuyết Trình  (Tái bản 2022),Alphabooks,89000,55500,66.0,Sách kỹ năng làm việc,2,5.0,148.0,Nhà Xuất Bản Dân Trí,https://salt.tikicdn.com/ts/product/3f/e3/9e/62b6b8ebcd67cd841657c67ad92412b5.jpg
152743081,Bàn Tay Ánh Sáng,Barbara Ann Brennan,269000,188000,389.0,Kiến Thức Bách Khoa,50,5.0,624.0,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/95/27/2f/57db3e1a04439252fc8e4a45ab5dd4d4.jpg
152517438,Dữ Liệu Bạch Kim (Văn Học Trinh Thám),Higashino Keigo,159000,112000,784.0,Truyện trinh thám,149,5.0,460.0,Nhà Xuất Bản Thanh Niên,https://salt.tikicdn.com/ts/product/0e/b7/c4/c9b9969e212eb2ebecce14cc37d5803c.jpg
73553837,Ngọc Sáng Trong Hoa Sen (Tái Bản 2020),Nguyên Phong,128000,84400,566.0,Sách nghệ thuật sống đẹp,103,5.0,368.0,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/media/catalog/producttmp/b5/ac/4a/938d265efb596ab0d38992893592619f.jpg
206576729,Phòng Thiết Kế Khai Thiên Lập Địa – Tập 1 [Tặng Bookmark + Sticker],Hebi-zou,36000,36000,31.0,Phòng Thiết Kế Khai Thiên Lập Địa – Tập 1 [Tặng Bookmark + Sticker],4,4.8,144.0,Nhà Xuất Bản Kim Đồng,https://salt.tikicdn.com/ts/product/12/80/34/7469bfe242d9a2e11e2a662ecf7b26ae.jpg
57911668,Kho Báu Bị Nguyền Rủa,Michel Bussi,189000,161000,,Truyện trinh thám,0,0.0,496.0,Nhà Xuất Bản Hội Nhà Văn,https://salt.tikicdn.com/ts/product/bf/01/dd/e52125f3945b634bda6f0de501539652.jpg
13624088,Nghĩ Thiện Để Cuộc Đời Và Công Việc Viên Mãn,Inamori Kazuo,70000,56100,3213.0,Sách tư duy - Kỹ năng sống,206,4.8,196.0,,https://salt.tikicdn.com/ts/product/0d/30/92/e49d2293c601bb8db2164ee14f7a8f3e.jpg
145288026,Chia Rẽ - Tại Sao Chúng Ta Đang Sống Trong Thời Đại Của Những Bức Tường,Tim Marshall,200000,120000,1745.0,Truyện ngắn - Tản văn - Tạp Văn,272,4.8,396.0,Nhà Xuất Bản Dân Trí,https://salt.tikicdn.com/ts/product/15/ce/8e/0d9f11fc37b0de189ba66f4f07359108.jpg
101983078,Ông Nội Vượt Ngục,David Walliams,128000,76800,483.0,Truyện cười,72,4.8,428.0,Nhà Xuất Bản Hội Nhà Văn,https://salt.tikicdn.com/ts/product/38/38/8c/c7467f3ed503b6eada78a60282a2a252.jpg
11368965,Combo Giáo Trình Chuẩn HSK 1 - Bài Học (Kèm 1 MP3) và Giáo Trình Chuẩn HSK 1 - Bài Tập (Kèm 1 MP3) ( Tặng Kèm Viết ),Khương Lệ Bình,356000,284800,2441.0,Sách Học Tiếng Hoa,485,5.0,280.0,Nhà Xuất Bản Tổng hợp TP.HCM,https://salt.tikicdn.com/ts/product/36/1d/51/a0098ab3e0527543fdc4014966a396b3.jpg
167686691,"Sách Tổng Ôn Toán Học 12, Sách Ôn Thi THPT Quốc Gia Moon",Nhiều tác giả,200000,139000,986.0,Sách Luyện Thi Đại Học - Cao Đẳng,287,4.8,358.0,Nhà Xuất Bản Hồng Đức,https://salt.tikicdn.com/ts/product/11/cb/99/eabd5f90765829aee8aa50bede3e03b7.jpg
92859698,Tâm Lý Học Biểu Cảm,Mã Hạo Thiên,98000,63001,6134.0,Sách tư duy - Kỹ năng sống,1332,5.0,252.0,Nhà Xuất Bản Văn Học,https://salt.tikicdn.com/ts/product/0f/b5/c3/0fd8f6c4b9b8070d747465351a02a9b3.jpg
11371241,1Q84 (Tập 1) - Tái Bản,Haruki Murakami,138000,82800,991.0,Tiểu Thuyết,118,4.8,,,https://salt.tikicdn.com/ts/product/5f/ee/f3/6ee420477826d0917b482868dfe67f69.jpg
157317126,50cm Một Cuộc Đời [Boxset 3 Tập],Gin Shirakawa,90000,90000,808.0,Tranh Truyện,299,4.8,,Nhà Xuất Bản Kim Đồng,https://salt.tikicdn.com/ts/product/ae/61/42/93c4aa3fe123648bb455bbfb92749310.jpg
107707575,Kẻ Ái Kỉ Cô Độc - Đi Vào Thế Giới Ẩn Giấu Trong Trái Tim (The Narcissist You Know),Joseph Burgo PhD,135000,88000,230.0,Sách tư duy - Kỹ năng sống,34,5.0,404.0,Nhà Xuất Bản Phụ Nữ Việt Nam,https://salt.tikicdn.com/ts/product/f4/5a/83/458b025629f9f2860f7633f55f70d69c.jpg
193226972,Thế Giới Otomegame Thật Khắc Nghiệt Với Nhân Vật Quần Chúng (Tập 1) - Tái Bản,Mishima Yomu,157000,110001,68.0,Light novel,26,4.8,516.0,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/43/0e/99/fc59900ec848367d602e565861160172.jpg
160488880,OKR - Từ Chiến Lược Mục Tiêu Đến Kết Quả Then Chốt,Masaru Amono,129000,92000,132.0,"Sách quản trị, lãnh đạo",13,4.8,204.0,Nhà Xuất Bản Công Thương,https://salt.tikicdn.com/ts/product/6c/b5/7b/fd66adaa6a58ea1e796a71eb19a0cddb.jpg
6563565,10 vạn câu hỏi vì sao - trọn bộ 5 tập,Đức Anh,219000,157000,15471.0,Kiến thức - Bách khoa,1674,4.7,203.0,,https://salt.tikicdn.com/ts/product/63/3e/6d/cd60627a92eb68c66c88ad2210296975.jpg
160488838,Axit Và Kiềm Trong Thực Dưỡng (Tái Bản),Herman Aihara,75000,52500,724.0,Axit Và Kiềm Trong Thực Dưỡng (Tái Bản),81,5.0,214.0,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/5c/45/90/17dd600ff1ba2d4dfb2cb017766a7f32.jpg
52785564,Dịch Hạch (Nobel Văn Chương 1957),Albert Camus,129000,77400,2904.0,Tác phẩm kinh điển,508,4.6,392.0,Nhà Xuất Bản Dân Trí,https://salt.tikicdn.com/ts/product/36/48/39/2ef073f6a40a268deb12ecc35a6b1145.jpg
76012201,Những Ngày Thơ Ấu (Việt Nam Danh Tác),Nguyên Hồng,75000,45000,631.0,Truyện ngắn - Tản văn - Tạp Văn,135,4.8,184.0,Nhà Xuất Bản Hội Nhà Văn,https://salt.tikicdn.com/ts/product/10/46/b1/25a5b8c0299dcf3ab0c6bfe65fca24e3.jpg
984938,Gã Nghiện Giày - Tự Truyện Của Nhà Sáng Lập NIKE,Phil Knight,160000,115000,8535.0,Sách doanh nhân,626,4.8,,,https://salt.tikicdn.com/media/catalog/product/g/a/ganghiengiay.u5430.d20171002.t100231.992728.jpg
190601858,Tạo lập kế hoạch kinh doanh for Dummies,Veechi Curtis,249000,174000,104.0,Bài học kinh doanh,10,5.0,504.0,Nhà Xuất Bản Công Thương,https://salt.tikicdn.com/ts/product/3c/d5/bc/fbea90d52fc7655a3b6763cef475d67e.jpg
200928947,Những Gì Đã Qua Đừng Nghĩ Lại Quá Nhiều,Minh Mẫn - Du Phong,98000,58000,181.0,Truyện ngắn - Tản văn - Tạp Văn,12,4.7,208.0,Nhà Xuất Bản Văn Học,https://salt.tikicdn.com/ts/product/a2/cb/35/1a72e3df4fb6bdc5b76b240aeb80c9c8.jpg
166033489,Hoàng Tử Bé (Tái Bản 2022),Antoine De Saint-Exupéry,35000,30100,1142.0,Truyện kể cho bé,143,5.0,112.0,Nhà Xuất Bản Kim Đồng,https://salt.tikicdn.com/ts/product/2b/fd/60/96a7a7b9b2a7fac4cc1600918c59b8cf.jpg
197588251,Tô Màu Phát Triển Não Bộ Cho Bé 1-5 Tuổi Tập 7,Phạm Ngọc Điệp,16000,9600,43.0,Tô màu - Luyện chữ  ,3,5.0,20.0,Nhà Xuất Bản Dân Trí,https://salt.tikicdn.com/ts/product/ec/15/0c/84a0bba19292c281e2b45f8b18a627f5.jpg
8011021,Tâm Lý Học Thành Công (Tái Bản),Carol S. Dweck,199000,129000,548.0,Sách tư duy - Kỹ năng sống,85,5.0,480.0,Nhà Xuất Bản Lao Động,https://salt.tikicdn.com/ts/product/41/c8/23/86289a16b242a20ca172c0d9b9c7b978.jpg
59362963,Osho Đàn Ông - The Book Of Men,Osho,119000,83300,1315.0,Sách giáo dục,181,4.8,325.0,Nhà Xuất Bản Hà Nội,https://salt.tikicdn.com/ts/product/f8/52/e3/a9775f490ee377b8ce21200eb86219bf.jpg
27971953,Lược Sử Tôn Giáo,Richard Holloway,129000,77400,4438.0,Lược Sử Tôn Giáo,579,4.7,308.0,,https://salt.tikicdn.com/ts/product/5c/69/27/5a19171b7de6d9b6b2c4ecbf9c005f19.jpg
202895290,Chuyện Con Ốc Sên Muốn Biết Tại Sao Nó Chậm Chạp,Neil Gaiman,45000,27000,22.0,Sách tư duy - Kỹ năng sống,0,0.0,83.0,Nhà Xuất Bản Hội Nhà Văn,https://salt.tikicdn.com/ts/product/f1/45/6a/ef4bde8959c84e5e968fed3a8b93c431.jpg
206844673,Những trận chiến thay đổi lịch sử, DK,500000,400000,22.0,Lịch Sử Thế Giới,6,5.0,256.0,Nhà Xuất Bản Dân Trí,https://salt.tikicdn.com/ts/product/7b/96/f6/331f9bbb82e17e3891b085aad27d8867.jpg
194960730,Nỗi buồn chiến tranh,Bảo Ninh,130000,90100,398.0,Tiểu sử - Hồi ký,51,5.0,,NXB Trẻ,https://salt.tikicdn.com/ts/product/5d/9b/ea/cc61ab0dd4ed7f00589fc7c49d7ca1dd.jpg
186229224,Bộ Sách Khởi Nghiệp Kinh Doanh Online - Marketing và Bán Hàng Hiệu Quả Với Thương Mại Điện Tử Tại Việt Nam,,378000,295000,264.0,Sách khởi nghiệp,34,5.0,,Nhà Xuất Bản Đà Nẵng,https://salt.tikicdn.com/ts/product/e7/20/da/337839b1c11bd3d68d789fee1aa783bc.png
94803499,Rừng Sâu Tăm Tối,Ruth Ware,165000,157000,11.0,Tiểu Thuyết,5,4.8,432.0,Nhà Xuất Bản Hội Nhà Văn,https://salt.tikicdn.com/ts/product/ae/8a/c9/60457050a34cad60febda55f02bc0285.jpg
92551275,Sách - Tin Vào Chính Mình - First News,,68000,64600,,Sách tư duy - Kỹ năng sống,0,0.0,160.0,Nhà Xuất Bản Tổng hợp TP.HCM,https://salt.tikicdn.com/ts/product/70/94/34/0f2c4ee946c85cf54d855017c0c2cc5f.jpg
52329765,Biên Niên Ký Chim Vặn Dây Cót (Tái Bản 2020),Haruki Murakami,199000,119400,2303.0,Tiểu Thuyết,533,4.8,720.0,Nhà Xuất Bản Hội Nhà Văn,https://salt.tikicdn.com/ts/product/70/d5/57/86a39f54565770a8a98fba90769633fc.jpg
199241859,Blue Flag - Tập 4,Kaito,45000,45000,251.0,Blue Flag - Tập 4,31,5.0,208.0,Nhà Xuất Bản Kim Đồng,https://salt.tikicdn.com/ts/product/ae/35/53/0e548df175300695facb371d7265620d.jpg
160488843,"Sống Như Một Cái Cây: Không Tham Lam, Không Chiến Đấu Vô Ích, Sống Khôn Ngoan Một Cách Thầm Lặng",Osamu Tanaka,65000,45500,316.0,Sách nghệ thuật sống đẹp,49,5.0,164.0,Nhà Xuất Bản Công Thương,https://salt.tikicdn.com/ts/product/0c/02/22/66c90fce39563c7d36b91c709d466ff0.jpg
205039751,Đúng Lúc Sẽ Hạnh Phúc Đúng Người Sẽ Bình Yên,Hẻoo,92000,72100,20.0,Truyện ngắn - Tản văn - Tạp Văn,1,5.0,232.0,Nhà Xuất Bản Phụ Nữ,https://salt.tikicdn.com/ts/product/4b/30/2a/78e70394cecce3719f7b8b78e4e3799a.jpg
197587864,Những chuyện tình thế kỷ mới,Tàn Tuyết,208000,124800,139.0,Tiểu Thuyết,15,5.0,536.0,Nhà Xuất Bản Phụ Nữ,https://salt.tikicdn.com/ts/product/65/b9/29/4d5f33dea779876dd400eb781f85e39f.jpg
3656561,Animorphs - Người Hóa Thú - Tập 3: Cuộc Đối Đầu,Katherine Applegate,63000,25200,565.0,Truyện dài,20,5.0,172.0,,https://salt.tikicdn.com/ts/product/4f/52/f1/d48d8eb2120e230a05e8257a47715f5a.jpg
205423656,Nhân Duyên Tiền Kiếp,,195000,195000,,Nhân Duyên Tiền Kiếp,0,0.0,,Nhà Xuất Bản Thanh Niên,https://salt.tikicdn.com/ts/product/12/12/90/21d482d8a69ed6e77d2ab3b232ca7159.jpg
16422526,365 Chuyện Kể Trước Giờ Đi Ngủ - Những Câu Chuyện Phát Triển Chỉ Số Tình Cảm EQ (Tái Bản),.,78000,57000,1219.0,Truyện kể cho bé,185,4.7,,,https://salt.tikicdn.com/ts/product/78/17/a6/5d2092167c688437c0e8dfe6b5c2e0de.jpg
109310241,7 Chiến Lược Thịnh Vượng Và Hạnh Phúc (Tái Bản),Jim Rohn,85000,59500,384.0,Sách kỹ năng làm việc,37,5.0,216.0,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/f7/5b/4d/0118a524e4009423e60d399b028ab171.jpg
205799432,Refresh! 20 Ngày Làm Mới Bản Thân,,199000,159200,,Sách tư duy - Kỹ năng sống,0,0.0,,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/cf/95/66/2188ab87ab49707dde9e1bc892e238f6.jpg
1476937,Dám Bị Ghét,Koga Fumitake,96000,57600,45858.0,Tiểu Thuyết,3457,4.8,336.0,,https://salt.tikicdn.com/ts/product/74/11/ff/6304c47fec56e6f0b2110be65af0c7c2.jpg
202450668,Cuộc Chiến Tỏ Tình Tập 4 [Tặng Kèm 1 Trong 2 Mẫu Thẻ Học Sinh],Aka Akasaka,40000,37000,178.0,Cuộc Chiến Tỏ Tình Tập 4 [Tặng Kèm 1 Trong 2 Mẫu Thẻ Học Sinh],21,4.8,208.0,Nhà Xuất Bản Kim Đồng,https://salt.tikicdn.com/ts/product/ec/13/a7/f08ca31f5af80a159f4e2ba79bdf6a03.jpg
201712780,LOVED - Marketing cho sản phẩm công nghệ - Định hình cách thế giới nghĩ về bạn,Martina Lauchengco,285000,256500,,Sách Marketing - Bán hàng ,0,0.0,372.0,Nhà Xuất Bản Dân Trí,https://salt.tikicdn.com/ts/product/e5/92/59/e6c23ace7f9e22164dd4bb7748f83068.jpg
53243293,"Green Smoothies - Giảm Cân, Làm Đẹp Da, Tăng Cường Sức Đề Kháng Với 7 Ngày Uống Sinh Tố Xanh",,159000,123000,5166.0,Sách Làm Đẹp,614,4.8,168.0,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/1f/15/19/0ae02b850d2ac23a80897cac699417de.jpg
76531748,Sách DevUP,,149000,149000,1178.0,Sách tư duy - Kỹ năng sống,277,4.8,204.0,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/ca/de/a9/f8566b89be89a63f8655eac76de76e9a.jpg
194960744,Đừng bao giờ đi ăn một mình,Keith Ferrazzi,145000,107000,111.0,Sách Marketing - Bán hàng ,7,5.0,,NXB Trẻ,https://salt.tikicdn.com/ts/product/fe/dc/0d/bda7fab4d636e85557ccc8841f36cd40.jpg
207494286,666 Satan Tập 4 [Tặng Kèm Bookmark Nhân Vật],Seishi Kishimoto,30000,30000,20.0,666 Satan Tập 4 [Tặng Kèm Bookmark Nhân Vật],2,5.0,192.0,Nhà Xuất Bản Kim Đồng,https://salt.tikicdn.com/ts/product/fa/83/e5/fb26597d567aa82503f1f8e4396eaebd.jpg
198198501,Ngang Tàng - Tập 2,Vu Triết,198000,124900,137.0,Truyện dài,27,5.0,488.0,Nhà Xuất Bản Hội Nhà Văn,https://salt.tikicdn.com/ts/product/03/29/e9/fea3565b552be581c13655baad3b1c6a.jpg
74362508,Thần Số Học Ứng Dụng,Joy Woodward,129000,70950,8164.0,Sách Chiêm Tinh - Horoscope,1477,4.8,280.0,Nhà Xuất Bản Thanh Niên,https://salt.tikicdn.com/ts/product/81/47/55/75dec2ab26549c43e2a08bcbfdf8c295.jpg
126742911,"Món Quà Của Linh Hồn - 
Sức Mạnh Chữa Lành Của Những Thữ Thách Trong Cuộc Sống",Robert Schwartz,289000,202300,711.0,Sách tư duy - Kỹ năng sống,115,5.0,728.0,Nhà Xuất Bản Hà Nội,https://salt.tikicdn.com/ts/product/51/a9/55/7b9e5c4ea5e63d7fc65e371fd86dbcc8.jpg
162832796,Rilla Dưới Mái Nhà Bên Ánh Lửa,Lucy Maud Montgomery,200000,120000,534.0,Tác phẩm kinh điển,99,5.0,520.0,Nhà Xuất Bản Hội Nhà Văn,https://salt.tikicdn.com/ts/product/46/d4/c5/256f0bce9c7242e3f763240fda75bf07.jpg
121185870,Và Rồi Núi Vọng,Khaled Hosseini,148000,88800,1089.0,Tiểu Thuyết,224,5.0,512.0,Nhà Xuất Bản Hội Nhà Văn,https://salt.tikicdn.com/ts/product/df/36/d9/b067ce3b894d2d1c3192ea78682f690b.jpg
197657911,Tiếng Núi,Kawabata Yasunari,220000,132000,854.0,Tác phẩm kinh điển,79,4.8,384.0,Nhà Xuất Bản Hà Nội,https://salt.tikicdn.com/ts/product/06/b0/b9/7ab33a63c472dddb0310a528119118b9.jpg
116397449,Người Tình Sputnik,Haruki Murakami,86000,51600,1057.0,Tiểu Thuyết,208,5.0,283.0,Nhà Xuất Bản Hội Nhà Văn,https://salt.tikicdn.com/ts/product/a8/24/dc/a64af347987a72011097fd4aa72839e7.jpg
111285054,Quẳng Gánh Lo Đi & Vui Sống (Tái Bản),Dale Carnegie,86000,56700,1565.0,Sách nghệ thuật sống đẹp,187,5.0,312.0,Nhà Xuất Bản Tổng hợp TP.HCM,https://salt.tikicdn.com/media/catalog/producttmp/d0/c2/04/af1acf9c243b19d989186488af670b0d.jpg
148937391,Bóng đêm ký ức - trọn bộ 2 tập - Điều tra phá án - Tặng Bookmark mặt trăng độc quyền,Giảo Giảo,330000,154000,314.0,Tiểu Thuyết,61,5.0,1048.0,NXB Dân Trí,https://salt.tikicdn.com/ts/product/18/b6/b2/90ea348c3345a96e1d9e5545a4446c84.png
129381092,Tư Duy Lại Lợi Thế Cạnh Tranh - 6 Quy Tắc Mới Cho Thời Đại Số,Ram Charan,110000,89100,171.0,"Sách quản trị, lãnh đạo",22,5.0,256.0,NXB Trẻ,https://salt.tikicdn.com/ts/product/1d/6f/65/d9daa43fda26e944a52fcd1e58ce3676.jpg
96357336,Cáo Pax,Sara Pennypacker,116000,69600,1589.0,Tiểu Thuyết,303,5.0,272.0,Nhà Xuất Bản Hội Nhà Văn,https://salt.tikicdn.com/ts/product/5b/36/d2/98867ec1bf4432c70d138985d17df349.jpg
131843989,Bên Kia Đường Có Đứa Dở Hơi (Tái Bản),Wendelin Van Draanen,79000,53000,336.0,Tiểu Thuyết,44,5.0,292.0,Nhà Xuất Bản Phụ Nữ Việt Nam,https://salt.tikicdn.com/ts/product/78/43/16/dc78068c1a4c4d3019cfcad6d34840ba.jpg
1534613,Giáo Trình Chuẩn HSK 5 Bài Học (Tập 1),Khương Lệ Bình,278000,183600,2117.0,Sách Học Tiếng Hoa,278,4.8,196.0,Nhà Xuất Bản Tổng hợp TP.HCM,https://salt.tikicdn.com/ts/product/5f/74/6f/9d36047259f6258f3e997e67848f5f6e.jpg
153521878,Nhân Loại - Một Lịch Sự Tràn Đầy Hi Vọng,Rutger Bregman,245000,176000,429.0,Kiến Thức Bách Khoa,52,4.8,482.0,Nhà Xuất Bản Mỹ Thuật,https://salt.tikicdn.com/ts/product/5e/2e/10/361ceb5a58a4d04a16e9fc4bb6d5947c.jpg
121635152,Không Ai Có Thể Làm Bạn Tổn Thương Trừ Khi Bạn Cho Phép (Tặng Kèm 1 Bộ Bookmark Gồm 4 Cái),Yoo Eun Jung,119000,72800,7994.0,Sách tư duy - Kỹ năng sống,1418,5.0,304.0,Nhà Xuất Bản Dân Trí,https://salt.tikicdn.com/ts/product/48/cf/b6/591dc6b51337aca15183552706b57087.jpg
194104631,Mong Bạn Đừng Khóc Một Mình,Ahn Sang Hyun,88000,67100,208.0,Sách nghệ thuật sống đẹp,18,4.8,192.0,Nhà Xuất Bản Dân Trí,https://salt.tikicdn.com/ts/product/a6/92/1c/3a5b15efcceb756c988ab0789c5d0af5.jpg
176550321,Bàn Về Ham Muốn: Tại Sao Chúng Ta Muốn Thứ Mà Ta Muốn,William B. Irvine,169000,118000,1223.0,Sách nghệ thuật sống đẹp,125,4.8,372.0,Nhà Xuất Bản Công Thương,https://salt.tikicdn.com/ts/product/ec/0d/db/881ef8e65256f339b31a35ae03c5de75.jpg
193684715,Ngoan Cường Vượt Định Kiến,Chimamanda Ngozi Adichie,79000,56900,175.0,Sách Tâm Lý Tuổi Teen,17,4.6,112.0,Nhà Xuất Bản Thanh Niên,https://salt.tikicdn.com/ts/product/58/bf/45/a3b406c7313d54bb6190167c40f1545b.jpg
55078233,#Hashtag 01: Drink - Kinh Doanh Đồ Uống Tại Thị Trường Việt Nam (Tái bản 2020),.,200000,140000,1092.0,Sách Marketing - Bán hàng ,153,4.8,140.0,Nhà Xuất Bản Lao Động,https://salt.tikicdn.com/ts/product/45/8b/e6/f31efedec087898f63fb6d84ca165332.jpg
206308045,Yu-Gi-Oh! Gx Tập 3: Vòng Bảng Kết Thúc!! [Tặng Kèm Bookmark PVC],Kazuki Takahashi,30000,29100,74.0,Yu-Gi-Oh! Gx Tập 3: Vòng Bảng Kết Thúc!! [Tặng Kèm Bookmark PVC],6,4.8,192.0,Nhà Xuất Bản Kim Đồng,https://salt.tikicdn.com/ts/product/c9/a6/a7/3c649431f124d0646d38382303f72790.jpg
117681065,Sống Thực Tế Giữa Đời Thực Dụng (Tái Bản),Mễ Mông,129000,97000,2087.0,Sách tư duy - Kỹ năng sống,441,4.8,360.0,Nhà Xuất Bản Thanh Niên,https://salt.tikicdn.com/ts/product/63/0e/68/ee6afa97336e0d8aa3beb3777db80c4c.jpg
205942262,Kinh Khủng Gì - Đâu,Julia Dohaldson,65000,39000,21.0,Truyện tranh thiếu nhi,0,0.0,26.0,Nhà Xuất Bản Hội Nhà Văn,https://salt.tikicdn.com/ts/product/5a/c7/ff/cee4cfd599a1c8e24ff2292429d20ad2.jpg
