Order ID,Customer ID,Platform,Order Date & Time,Delivery Time (Minutes),Product Category,Order Value (INR),Customer Feedback,Service Rating,Delivery Delay,Refund Requested
ORD000001,CUST2824,JioMart,19:29.5,30,Fruits & Vegetables,382,"Fast delivery, great service!",5,No,No
ORD000002,CUST1409,Blinkit,54:29.5,16,Dairy,279,Quick and reliable!,5,No,No
ORD000003,CUST5506,JioMart,21:29.5,25,Beverages,599,Items missing from order.,2,No,Yes
ORD000004,CUST5012,JioMart,19:29.5,42,Beverages,946,Items missing from order.,2,Yes,Yes
ORD000005,CUST4657,Blinkit,49:29.5,30,Beverages,334,"Fast delivery, great service!",5,No,No
ORD000006,CUST3286,Blinkit,36:29.5,25,Personal Care,1939,Items missing from order.,2,No,Yes
ORD000007,CUST2679,JioMart,22:29.5,22,Personal Care,1693,"Fast delivery, great service!",5,No,No
ORD000008,CUST9935,Swiggy Instamart,50:29.5,16,Personal Care,195,"Horrible experience, never ordering again.",1,No,Yes
ORD000009,CUST2424,JioMart,51:29.5,39,Fruits & Vegetables,182,Very satisfied with the service.,5,No,No
ORD000010,CUST7912,JioMart,08:29.5,51,Grocery,1279,"Very late delivery, not happy.",2,Yes,Yes
ORD000011,CUST1520,JioMart,32:29.5,25,Fruits & Vegetables,553,"Fast delivery, great service!",5,No,No
ORD000012,CUST1488,JioMart,12:29.5,11,Grocery,1062,Excellent experience!,5,No,No
ORD000013,CUST2535,Blinkit,08:29.5,45,Fruits & Vegetables,516,"Horrible experience, never ordering again.",1,Yes,Yes
ORD000014,CUST4582,JioMart,19:29.5,21,Dairy,322,"Very late delivery, not happy.",2,No,Yes
ORD000015,CUST4811,Swiggy Instamart,27:29.5,33,Fruits & Vegetables,50,"Easy to order, loved it!",5,No,No
ORD000016,CUST9279,Blinkit,07:29.5,35,Beverages,143,Good quality products.,4,No,No
ORD000017,CUST1434,Swiggy Instamart,58:29.5,41,Beverages,956,"Not fresh, disappointed.",2,Yes,Yes
ORD000018,CUST4257,Swiggy Instamart,23:29.5,27,Beverages,161,Excellent experience!,5,No,No
ORD000019,CUST9928,Swiggy Instamart,15:29.5,34,Dairy,417,"Horrible experience, never ordering again.",1,No,Yes
ORD000020,CUST7873,Swiggy Instamart,20:29.5,26,Beverages,677,Quick and reliable!,5,No,No
ORD000021,CUST4611,Blinkit,44:29.5,10,Beverages,789,Wrong item delivered.,1,No,Yes
ORD000022,CUST8359,Blinkit,57:29.5,25,Beverages,739,Delivery person was rude.,2,No,Yes
ORD000023,CUST5557,Swiggy Instamart,01:29.5,33,Beverages,486,Good quality products.,4,No,No
ORD000024,CUST1106,Swiggy Instamart,27:29.5,20,Beverages,202,Packaging could be better.,3,No,No
ORD000025,CUST3615,Blinkit,06:29.5,30,Grocery,1288,Delivery person was rude.,2,No,Yes
ORD000026,CUST7924,Blinkit,59:29.5,32,Dairy,205,Very satisfied with the service.,5,No,No
ORD000027,CUST6574,Blinkit,33:29.5,43,Fruits & Vegetables,204,Items missing from order.,2,Yes,Yes
ORD000028,CUST5552,JioMart,56:29.5,20,Dairy,334,Wrong item delivered.,1,No,Yes
ORD000029,CUST3547,JioMart,57:29.5,32,Dairy,563,"Horrible experience, never ordering again.",1,No,Yes
ORD000030,CUST4527,JioMart,53:29.5,19,Grocery,1333,"Easy to order, loved it!",5,No,No
ORD000031,CUST6514,Swiggy Instamart,08:29.5,8,Beverages,757,Excellent experience!,5,No,No
ORD000032,CUST2674,JioMart,23:29.5,25,Personal Care,1651,Packaging could be better.,3,No,No
ORD000033,CUST2519,Swiggy Instamart,08:29.5,24,Dairy,290,Quick and reliable!,5,No,No
ORD000034,CUST7224,Swiggy Instamart,28:29.5,33,Personal Care,697,"Fast delivery, great service!",5,No,No
ORD000035,CUST2584,JioMart,31:29.5,41,Personal Care,668,"Fast delivery, great service!",5,Yes,No
ORD000036,CUST6881,Swiggy Instamart,50:29.5,31,Fruits & Vegetables,582,Quick and reliable!,5,No,No
ORD000037,CUST6635,JioMart,01:29.5,23,Fruits & Vegetables,101,"Fast delivery, great service!",5,No,No
ORD000038,CUST5333,JioMart,41:29.5,21,Snacks,402,Wrong item delivered.,1,No,Yes
ORD000039,CUST1711,Blinkit,09:29.5,41,Beverages,711,Wrong item delivered.,1,Yes,Yes
ORD000040,CUST8527,JioMart,11:29.5,36,Dairy,632,Quick and reliable!,5,No,No
ORD000041,CUST9785,Blinkit,46:29.5,21,Fruits & Vegetables,516,Wrong item delivered.,1,No,Yes
ORD000042,CUST3045,JioMart,11:29.5,16,Beverages,409,"Horrible experience, never ordering again.",1,No,Yes
ORD000043,CUST7201,JioMart,37:29.5,21,Snacks,124,Delivery person was rude.,2,No,Yes
ORD000044,CUST2291,Blinkit,05:29.5,39,Grocery,1118,Quick and reliable!,5,No,No
ORD000045,CUST5803,Blinkit,26:29.5,20,Personal Care,323,"Easy to order, loved it!",5,No,No
ORD000046,CUST6925,JioMart,14:29.5,34,Snacks,174,Excellent experience!,5,No,No
ORD000047,CUST4150,Swiggy Instamart,43:29.5,46,Snacks,320,"Horrible experience, never ordering again.",1,Yes,Yes
ORD000048,CUST2139,Blinkit,16:29.5,22,Snacks,71,Packaging could be better.,3,No,No
ORD000049,CUST1750,Swiggy Instamart,32:29.5,26,Snacks,53,"Fast delivery, great service!",5,No,No
ORD000050,CUST4733,Swiggy Instamart,59:29.5,29,Personal Care,916,Wrong item delivered.,1,No,Yes
ORD000051,CUST5741,Swiggy Instamart,04:29.5,13,Dairy,289,Quick and reliable!,5,No,No
ORD000052,CUST2307,Blinkit,16:29.5,22,Grocery,774,"Easy to order, loved it!",5,No,No
ORD000053,CUST4814,Swiggy Instamart,22:29.5,31,Beverages,917,Quick and reliable!,5,No,No
ORD000054,CUST2654,Blinkit,29:29.5,20,Fruits & Vegetables,424,"Not fresh, disappointed.",2,No,Yes
ORD000055,CUST7227,Swiggy Instamart,43:29.5,51,Beverages,167,"Very late delivery, not happy.",2,Yes,Yes
ORD000056,CUST5554,JioMart,08:29.5,25,Fruits & Vegetables,657,Packaging could be better.,3,No,No
ORD000057,CUST8428,JioMart,12:29.5,28,Personal Care,817,Good quality products.,4,No,No
ORD000058,CUST6977,Blinkit,40:29.5,24,Dairy,243,Wrong item delivered.,1,No,Yes
ORD000059,CUST3664,JioMart,49:29.5,27,Dairy,557,"Not fresh, disappointed.",2,No,Yes
ORD000060,CUST7065,JioMart,05:29.5,22,Fruits & Vegetables,555,Packaging could be better.,3,No,No
ORD000061,CUST6820,Swiggy Instamart,35:29.5,9,Fruits & Vegetables,586,Quick and reliable!,5,No,No
ORD000062,CUST4432,Blinkit,52:29.5,26,Beverages,666,Delivery person was rude.,2,No,Yes
ORD000063,CUST5374,Swiggy Instamart,35:29.5,48,Snacks,61,Delivery person was rude.,2,Yes,Yes
ORD000064,CUST2169,Swiggy Instamart,06:29.5,46,Dairy,772,"Horrible experience, never ordering again.",1,Yes,Yes
ORD000065,CUST3803,Swiggy Instamart,41:29.5,19,Personal Care,1595,"Not fresh, disappointed.",2,No,Yes
ORD000066,CUST9751,Swiggy Instamart,11:29.5,14,Personal Care,1956,Wrong item delivered.,1,No,Yes
ORD000067,CUST5010,Swiggy Instamart,58:29.5,9,Dairy,796,Wrong item delivered.,1,No,Yes
ORD000068,CUST3677,Swiggy Instamart,17:29.5,20,Dairy,146,Excellent experience!,5,No,No
ORD000069,CUST8573,Swiggy Instamart,34:29.5,24,Fruits & Vegetables,536,Quick and reliable!,5,No,No
ORD000070,CUST7216,Blinkit,45:29.5,34,Snacks,353,"Very late delivery, not happy.",2,No,Yes
ORD000071,CUST5422,JioMart,48:29.5,25,Dairy,641,"Not fresh, disappointed.",2,No,Yes
ORD000072,CUST4598,Swiggy Instamart,52:29.5,38,Fruits & Vegetables,341,Excellent experience!,5,No,No
ORD000073,CUST6313,Swiggy Instamart,11:29.5,35,Dairy,425,"Fast delivery, great service!",5,No,No
ORD000074,CUST1916,Swiggy Instamart,30:29.5,33,Snacks,284,"Very late delivery, not happy.",2,No,Yes
ORD000075,CUST4752,Swiggy Instamart,46:29.5,28,Beverages,905,Quick and reliable!,5,No,No
ORD000076,CUST1525,Swiggy Instamart,21:29.5,39,Grocery,1221,Very satisfied with the service.,5,No,No
ORD000077,CUST6168,Swiggy Instamart,11:29.5,36,Beverages,159,Items missing from order.,2,No,Yes
ORD000078,CUST7572,JioMart,28:29.5,15,Fruits & Vegetables,122,Delivery person was rude.,2,No,Yes
ORD000079,CUST5386,JioMart,35:29.5,35,Beverages,276,Excellent experience!,5,No,No
ORD000080,CUST2084,Swiggy Instamart,15:29.5,24,Dairy,147,Very satisfied with the service.,5,No,No
ORD000081,CUST4456,JioMart,13:29.5,39,Fruits & Vegetables,565,Very satisfied with the service.,5,No,No
ORD000082,CUST6155,Blinkit,45:29.5,36,Personal Care,1848,Good quality products.,4,No,No
ORD000083,CUST4483,Swiggy Instamart,31:29.5,47,Dairy,240,Packaging could be better.,3,Yes,No
ORD000084,CUST9179,Blinkit,32:29.5,10,Beverages,910,Very satisfied with the service.,5,No,No
ORD000085,CUST7482,Blinkit,19:29.5,33,Grocery,314,Packaging could be better.,3,No,No
ORD000086,CUST8517,Swiggy Instamart,50:29.5,23,Grocery,1332,"Very late delivery, not happy.",2,No,Yes
ORD000087,CUST3340,JioMart,38:29.5,51,Beverages,640,Wrong item delivered.,1,Yes,Yes
ORD000088,CUST5339,Blinkit,05:29.5,5,Beverages,465,"Horrible experience, never ordering again.",1,No,Yes
ORD000089,CUST3287,Swiggy Instamart,03:29.5,34,Personal Care,1690,"Fast delivery, great service!",5,No,No
ORD000090,CUST5040,Blinkit,40:29.5,35,Fruits & Vegetables,191,Items missing from order.,2,No,Yes
ORD000091,CUST9830,Blinkit,18:29.5,8,Personal Care,183,Very satisfied with the service.,5,No,No
ORD000092,CUST5304,Blinkit,03:29.5,35,Fruits & Vegetables,288,"Fast delivery, great service!",5,No,No
ORD000093,CUST8019,Blinkit,31:29.5,9,Grocery,645,Excellent experience!,5,No,No
ORD000094,CUST7543,JioMart,22:29.5,22,Grocery,280,"Fast delivery, great service!",5,No,No
ORD000095,CUST6930,Blinkit,38:29.5,34,Personal Care,703,Good quality products.,4,No,No
ORD000096,CUST4593,Blinkit,13:29.5,20,Grocery,378,Packaging could be better.,3,No,No
ORD000097,CUST3266,Blinkit,58:29.5,30,Fruits & Vegetables,306,Quick and reliable!,5,No,No
ORD000098,CUST9348,JioMart,31:29.5,29,Fruits & Vegetables,160,"Easy to order, loved it!",5,No,No
ORD000099,CUST9085,Blinkit,06:29.5,35,Beverages,364,"Not fresh, disappointed.",2,No,Yes
ORD000100,CUST2489,Blinkit,52:29.5,19,Fruits & Vegetables,427,Quick and reliable!,5,No,No
ORD000101,CUST1771,JioMart,42:29.5,39,Beverages,160,Very satisfied with the service.,5,No,No
ORD000102,CUST2796,JioMart,52:29.5,5,Personal Care,377,Items missing from order.,2,No,Yes
ORD000103,CUST3504,JioMart,00:29.5,45,Personal Care,634,Delivery person was rude.,2,Yes,Yes
ORD000104,CUST3621,Blinkit,53:29.5,27,Snacks,285,Excellent experience!,5,No,No
ORD000105,CUST7916,JioMart,11:29.5,28,Beverages,391,Items missing from order.,2,No,Yes
ORD000106,CUST2040,JioMart,34:29.5,33,Snacks,51,Delivery person was rude.,2,No,Yes
ORD000107,CUST7304,Blinkit,15:29.5,31,Fruits & Vegetables,367,Good quality products.,4,No,No
ORD000108,CUST7252,JioMart,51:29.5,29,Grocery,1015,Excellent experience!,5,No,No
ORD000109,CUST8668,Blinkit,33:29.5,42,Beverages,607,Packaging could be better.,3,Yes,No
ORD000110,CUST9669,Swiggy Instamart,27:29.5,14,Dairy,600,"Horrible experience, never ordering again.",1,No,Yes
ORD000111,CUST5119,JioMart,10:29.5,20,Personal Care,727,Delivery person was rude.,2,No,Yes
ORD000112,CUST1188,Swiggy Instamart,55:29.5,34,Beverages,624,"Very late delivery, not happy.",2,No,Yes
ORD000113,CUST2876,Blinkit,55:29.5,26,Fruits & Vegetables,252,Very satisfied with the service.,5,No,No
ORD000114,CUST9797,JioMart,19:29.5,42,Dairy,724,"Very late delivery, not happy.",2,Yes,Yes
ORD000115,CUST5371,Blinkit,04:29.5,52,Grocery,623,"Fast delivery, great service!",5,Yes,No
ORD000116,CUST6573,Swiggy Instamart,42:29.5,30,Beverages,859,Quick and reliable!,5,No,No
ORD000117,CUST2827,Blinkit,08:29.5,12,Dairy,599,"Fast delivery, great service!",5,No,No
ORD000118,CUST5808,JioMart,39:29.5,21,Beverages,502,Items missing from order.,2,No,Yes
ORD000119,CUST8123,JioMart,02:29.5,9,Personal Care,931,Items missing from order.,2,No,Yes
ORD000120,CUST3591,Swiggy Instamart,37:29.5,36,Dairy,198,"Fast delivery, great service!",5,No,No
ORD000121,CUST8433,Blinkit,48:29.5,20,Dairy,314,Packaging could be better.,3,No,No
ORD000122,CUST1053,JioMart,51:29.5,28,Dairy,509,"Very late delivery, not happy.",2,No,Yes
ORD000123,CUST5315,Swiggy Instamart,04:29.5,27,Dairy,436,Very satisfied with the service.,5,No,No
ORD000124,CUST9201,JioMart,54:29.5,41,Grocery,718,Very satisfied with the service.,5,Yes,No
ORD000125,CUST3927,JioMart,14:29.5,30,Snacks,418,Packaging could be better.,3,No,No
ORD000126,CUST9317,Blinkit,26:29.5,27,Snacks,312,"Very late delivery, not happy.",2,No,Yes
ORD000127,CUST2743,JioMart,01:29.5,20,Fruits & Vegetables,230,"Easy to order, loved it!",5,No,No
ORD000128,CUST5889,Blinkit,41:29.5,36,Fruits & Vegetables,619,Items missing from order.,2,No,Yes
ORD000129,CUST9317,JioMart,43:29.5,18,Snacks,70,Excellent experience!,5,No,No
ORD000130,CUST4258,Swiggy Instamart,26:29.5,17,Fruits & Vegetables,596,Quick and reliable!,5,No,No
ORD000131,CUST3504,JioMart,07:29.5,24,Beverages,734,"Horrible experience, never ordering again.",1,No,Yes
ORD000132,CUST7126,Blinkit,14:29.5,50,Personal Care,1010,Packaging could be better.,3,Yes,No
ORD000133,CUST3646,Blinkit,06:29.5,29,Beverages,580,Very satisfied with the service.,5,No,No
ORD000134,CUST9837,Swiggy Instamart,24:29.5,29,Fruits & Vegetables,303,"Fast delivery, great service!",5,No,No
ORD000135,CUST9689,JioMart,07:29.5,33,Dairy,472,"Not fresh, disappointed.",2,No,Yes
ORD000136,CUST1009,JioMart,57:29.5,32,Beverages,987,"Fast delivery, great service!",5,No,No
ORD000137,CUST6310,Swiggy Instamart,30:29.5,27,Dairy,207,"Very late delivery, not happy.",2,No,Yes
ORD000138,CUST9005,JioMart,42:29.5,20,Beverages,548,Packaging could be better.,3,No,No
ORD000139,CUST1319,JioMart,02:29.5,25,Snacks,220,Delivery person was rude.,2,No,Yes
ORD000140,CUST2832,Blinkit,51:29.5,27,Fruits & Vegetables,209,"Very late delivery, not happy.",2,No,Yes
ORD000141,CUST6947,JioMart,20:29.5,15,Dairy,517,"Horrible experience, never ordering again.",1,No,Yes
ORD000142,CUST6038,JioMart,21:29.5,27,Dairy,244,Good quality products.,4,No,No
ORD000143,CUST4923,Swiggy Instamart,27:29.5,31,Dairy,304,Excellent experience!,5,No,No
ORD000144,CUST1949,Swiggy Instamart,41:29.5,24,Beverages,899,Quick and reliable!,5,No,No
ORD000145,CUST4946,Blinkit,11:29.5,42,Personal Care,959,Delivery person was rude.,2,Yes,Yes
ORD000146,CUST2290,JioMart,01:29.5,32,Snacks,155,"Very late delivery, not happy.",2,No,Yes
ORD000147,CUST2403,JioMart,08:29.5,22,Fruits & Vegetables,131,"Very late delivery, not happy.",2,No,Yes
ORD000148,CUST8962,JioMart,13:29.5,25,Grocery,330,Delivery person was rude.,2,No,Yes
ORD000149,CUST2133,Blinkit,15:29.5,42,Fruits & Vegetables,617,Excellent experience!,5,Yes,No
ORD000150,CUST9727,Blinkit,11:29.5,23,Dairy,403,"Not fresh, disappointed.",2,No,Yes
ORD000151,CUST3060,Swiggy Instamart,30:29.5,21,Beverages,106,Excellent experience!,5,No,No
ORD000152,CUST3103,Blinkit,25:29.5,21,Personal Care,1929,Packaging could be better.,3,No,No
ORD000153,CUST8787,JioMart,25:29.5,30,Dairy,610,Quick and reliable!,5,No,No
ORD000154,CUST3705,JioMart,56:29.5,32,Personal Care,696,"Very late delivery, not happy.",2,No,Yes
ORD000155,CUST5342,Blinkit,56:29.5,36,Snacks,354,Quick and reliable!,5,No,No
ORD000156,CUST9645,JioMart,11:29.5,22,Grocery,583,Good quality products.,4,No,No
ORD000157,CUST7932,JioMart,25:29.5,45,Dairy,486,"Easy to order, loved it!",5,Yes,No
ORD000158,CUST4470,Blinkit,52:29.5,35,Personal Care,731,"Horrible experience, never ordering again.",1,No,Yes
ORD000159,CUST9835,Blinkit,07:29.5,25,Beverages,683,Excellent experience!,5,No,No
ORD000160,CUST4295,JioMart,25:29.5,38,Grocery,1450,Wrong item delivered.,1,No,Yes
ORD000161,CUST6107,JioMart,57:29.5,49,Grocery,379,Quick and reliable!,5,Yes,No
ORD000162,CUST7537,JioMart,06:29.5,34,Dairy,786,"Horrible experience, never ordering again.",1,No,Yes
ORD000163,CUST7118,Swiggy Instamart,17:29.5,47,Dairy,412,"Very late delivery, not happy.",2,Yes,Yes
ORD000164,CUST8177,Swiggy Instamart,28:29.5,19,Snacks,468,Very satisfied with the service.,5,No,No
ORD000165,CUST9479,Swiggy Instamart,54:29.5,10,Snacks,422,Quick and reliable!,5,No,No
ORD000166,CUST8397,Blinkit,50:29.5,35,Beverages,863,Quick and reliable!,5,No,No
ORD000167,CUST2982,Swiggy Instamart,07:29.5,41,Snacks,145,Very satisfied with the service.,5,Yes,No
ORD000168,CUST5061,Blinkit,31:29.5,16,Personal Care,1490,"Easy to order, loved it!",5,No,No
ORD000169,CUST4681,Blinkit,07:29.5,42,Personal Care,1291,"Horrible experience, never ordering again.",1,Yes,Yes
ORD000170,CUST2049,Swiggy Instamart,36:29.5,25,Dairy,599,"Easy to order, loved it!",5,No,No
ORD000171,CUST6539,Swiggy Instamart,25:29.5,36,Personal Care,476,Delivery person was rude.,2,No,Yes
ORD000172,CUST1344,Swiggy Instamart,36:29.5,32,Beverages,613,Good quality products.,4,No,No
ORD000173,CUST4770,JioMart,43:29.5,34,Dairy,121,Wrong item delivered.,1,No,Yes
ORD000174,CUST4608,Swiggy Instamart,51:29.5,35,Personal Care,178,Delivery person was rude.,2,No,Yes
ORD000175,CUST1117,JioMart,11:29.5,29,Beverages,310,"Easy to order, loved it!",5,No,No
ORD000176,CUST2163,Blinkit,14:29.5,25,Personal Care,1727,Excellent experience!,5,No,No
ORD000177,CUST1964,JioMart,17:29.5,33,Grocery,457,Items missing from order.,2,No,Yes
ORD000178,CUST4750,Swiggy Instamart,30:29.5,27,Dairy,581,Excellent experience!,5,No,No
ORD000179,CUST2104,Blinkit,07:29.5,23,Dairy,307,"Very late delivery, not happy.",2,No,Yes
ORD000180,CUST1514,Blinkit,59:29.5,33,Grocery,1425,Wrong item delivered.,1,No,Yes
ORD000181,CUST6413,Blinkit,00:29.5,24,Personal Care,1553,Quick and reliable!,5,No,No
ORD000182,CUST2160,JioMart,41:29.5,28,Personal Care,752,"Easy to order, loved it!",5,No,No
ORD000183,CUST9423,Swiggy Instamart,24:29.5,24,Fruits & Vegetables,675,"Easy to order, loved it!",5,No,No
ORD000184,CUST4899,Blinkit,31:29.5,45,Fruits & Vegetables,239,"Fast delivery, great service!",5,Yes,No
ORD000185,CUST5562,Blinkit,11:29.5,31,Grocery,788,Very satisfied with the service.,5,No,No
ORD000186,CUST8953,Blinkit,54:29.5,14,Fruits & Vegetables,112,"Easy to order, loved it!",5,No,No
