Gender,Caste,coaching,Class_ten_education,twelve_education,medium,Class_X_Percentage,Class_XII_Percentage,Father_occupation,Mother_occupation,time,Performance
male,General,NO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,ENGINEER,COLLEGE_TEACHER,TWO,Good
male,General,NO,CBSE,CBSE,ENGLISH,Excellent,Vg,SCHOOL_TEACHER,HOUSE_WIFE,TWO,Good
male,General,NO,SEBA,AHSEC,ENGLISH,Vg,Vg,OTHERS,HOUSE_WIFE,ONE,Good
female,General,WA,SEBA,CBSE,ENGLISH,Good,Vg,BUSINESS,HOUSE_WIFE,TWO,Good
male,General,NO,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,ONE,Good
male,SC,WA,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,THREE,Good
male,General,OA,CBSE,CBSE,ENGLISH,Excellent,Excellent,ENGINEER,HOUSE_WIFE,ONE,Good
female,General,WA,SEBA,AHSEC,ENGLISH,Excellent,Excellent,BANK_OFFICIAL,OTHERS,ONE,Good
female,General,WA,CBSE,CBSE,ENGLISH,Excellent,Excellent,COLLEGE_TEACHER,SCHOOL_TEACHER,TWO,Good
female,General,WA,SEBA,AHSEC,ASSAMESE,Excellent,Excellent,SCHOOL_TEACHER,SCHOOL_TEACHER,TWO,Good
male,General,WA,SEBA,AHSEC,OTHERS,Vg,Vg,SCHOOL_TEACHER,SCHOOL_TEACHER,THREE,Good
female,OBC,WA,SEBA,AHSEC,ENGLISH,Vg,Vg,OTHERS,HOUSE_WIFE,ONE,Good
female,General,OA,CBSE,CBSE,ENGLISH,Excellent,Vg,ENGINEER,HOUSE_WIFE,TWO,Good
male,OBC,NO,SEBA,AHSEC,ENGLISH,Good,Good,OTHERS,OTHERS,TWO,Good
female,General,WA,SEBA,CBSE,ENGLISH,Excellent,Good,OTHERS,HOUSE_WIFE,TWO,Good
male,General,WA,SEBA,CBSE,ENGLISH,Excellent,Vg,OTHERS,HOUSE_WIFE,TWO,Good
female,OBC,OA,CBSE,CBSE,ENGLISH,Vg,Vg,BUSINESS,HOUSE_WIFE,THREE,Good
female,General,NO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,DOCTOR,DOCTOR,ONE,Good
female,General,NO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,ENGINEER,HOUSE_WIFE,ONE,Good
male,General,NO,CBSE,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,SCHOOL_TEACHER,ONE,Good
male,General,WA,SEBA,AHSEC,ASSAMESE,Excellent,Vg,OTHERS,HOUSE_WIFE,TWO,Good
male,OBC,OA,CBSE,CBSE,ENGLISH,Vg,Vg,DOCTOR,HOUSE_WIFE,TWO,Good
male,General,WA,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,THREE,Good
male,OBC,NO,SEBA,AHSEC,OTHERS,Good,Average,SCHOOL_TEACHER,HOUSE_WIFE,FIVE,Good
male,General,WA,CBSE,CBSE,ENGLISH,Excellent,Vg,OTHERS,HOUSE_WIFE,TWO,Good
male,OBC,OA,CBSE,CBSE,ENGLISH,Excellent,Excellent,BUSINESS,OTHERS,TWO,Good
male,OBC,NO,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,ONE,Good
female,OBC,WA,CBSE,CBSE,ENGLISH,Excellent,Good,OTHERS,HOUSE_WIFE,SEVEN,Good
male,SC,WA,SEBA,AHSEC,ENGLISH,Excellent,Excellent,DOCTOR,HOUSE_WIFE,TWO,Good
female,SC,WA,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,TWO,Good
female,OBC,WA,SEBA,AHSEC,ENGLISH,Vg,Excellent,DOCTOR,HOUSE_WIFE,ONE,Good
female,OBC,WA,SEBA,AHSEC,OTHERS,Excellent,Excellent,BUSINESS,HOUSE_WIFE,ONE,Good
male,General,WA,CBSE,CBSE,ENGLISH,Excellent,Vg,OTHERS,OTHERS,TWO,Good
female,OBC,WA,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,OTHERS,THREE,Good
male,OBC,WA,SEBA,AHSEC,ASSAMESE,Excellent,Vg,SCHOOL_TEACHER,HOUSE_WIFE,TWO,Good
female,General,WA,SEBA,AHSEC,ENGLISH,Excellent,Excellent,DOCTOR,HOUSE_WIFE,TWO,Good
female,General,OA,CBSE,CBSE,ENGLISH,Excellent,Excellent,SCHOOL_TEACHER,SCHOOL_TEACHER,ONE,Good
female,General,NO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,SCHOOL_TEACHER,SCHOOL_TEACHER,ONE,Good
female,OBC,NO,SEBA,AHSEC,ENGLISH,Excellent,Vg,BUSINESS,HOUSE_WIFE,TWO,Good
female,General,NO,CBSE,CBSE,ENGLISH,Excellent,Excellent,DOCTOR,HOUSE_WIFE,ONE,Good
male,General,WA,SEBA,AHSEC,OTHERS,Vg,Good,SCHOOL_TEACHER,HOUSE_WIFE,THREE,Good
female,OBC,WA,CBSE,CBSE,ENGLISH,Excellent,Excellent,SCHOOL_TEACHER,OTHERS,TWO,Good
male,General,WA,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,TWO,Good
male,General,WA,CBSE,CBSE,ENGLISH,Excellent,Vg,OTHERS,HOUSE_WIFE,ONE,Good
female,OBC,WA,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,OTHERS,ONE,Good
male,General,WA,CBSE,CBSE,ENGLISH,Excellent,Excellent,BUSINESS,HOUSE_WIFE,TWO,Good
male,General,WA,SEBA,AHSEC,ENGLISH,Excellent,Excellent,DOCTOR,HOUSE_WIFE,ONE,Good
male,General,WA,SEBA,AHSEC,ENGLISH,Excellent,Excellent,SCHOOL_TEACHER,HOUSE_WIFE,ONE,Good
female,OBC,WA,CBSE,CBSE,ENGLISH,Excellent,Vg,OTHERS,HOUSE_WIFE,TWO,Good
female,OBC,WA,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,OTHERS,ONE,Good
female,OBC,WA,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,SCHOOL_TEACHER,TWO,Good
female,OBC,WA,SEBA,AHSEC,OTHERS,Good,Good,BUSINESS,HOUSE_WIFE,THREE,Good
male,General,WA,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,TWO,Good
female,OBC,WA,SEBA,AHSEC,ENGLISH,Vg,Good,BUSINESS,HOUSE_WIFE,FOUR,Good
female,OBC,OA,SEBA,AHSEC,ENGLISH,Excellent,Excellent,SCHOOL_TEACHER,SCHOOL_TEACHER,TWO,Good
female,OBC,WA,CBSE,CBSE,ENGLISH,Excellent,Excellent,DOCTOR,OTHERS,TWO,Good
male,General,WA,SEBA,AHSEC,OTHERS,Excellent,Excellent,OTHERS,SCHOOL_TEACHER,TWO,Good
male,General,WA,SEBA,AHSEC,OTHERS,Excellent,Vg,OTHERS,OTHERS,TWO,Good
female,General,NO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,SCHOOL_TEACHER,SCHOOL_TEACHER,ONE,Good
female,OBC,NO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,ONE,Good
male,General,WA,SEBA,AHSEC,ENGLISH,Excellent,Excellent,SCHOOL_TEACHER,SCHOOL_TEACHER,ONE,Good
male,OBC,OA,SEBA,AHSEC,ENGLISH,Excellent,Excellent,DOCTOR,HOUSE_WIFE,TWO,Good
male,OBC,NO,SEBA,AHSEC,ENGLISH,Excellent,Vg,OTHERS,HOUSE_WIFE,THREE,Good
female,General,WA,SEBA,AHSEC,ASSAMESE,Excellent,Vg,DOCTOR,OTHERS,THREE,Good
female,General,WA,SEBA,CBSE,ENGLISH,Excellent,Excellent,BUSINESS,HOUSE_WIFE,ONE,Good
male,General,NO,SEBA,AHSEC,OTHERS,Excellent,Excellent,CULTIVATOR,HOUSE_WIFE,ONE,Good
female,General,WA,CBSE,CBSE,ENGLISH,Excellent,Excellent,DOCTOR,OTHERS,TWO,Good
male,General,WA,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,ONE,Good
female,General,NO,CBSE,CBSE,ENGLISH,Excellent,Vg,OTHERS,HOUSE_WIFE,TWO,Good
male,General,WA,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,ONE,Good
female,SC,NO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,BUSINESS,HOUSE_WIFE,THREE,Good
female,General,WA,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,OTHERS,TWO,Good
female,General,WA,CBSE,CBSE,ENGLISH,Excellent,Good,BUSINESS,HOUSE_WIFE,ONE,Good
male,General,WA,SEBA,AHSEC,ENGLISH,Vg,Vg,SCHOOL_TEACHER,SCHOOL_TEACHER,TWO,Good
male,General,NO,SEBA,AHSEC,OTHERS,Excellent,Excellent,SCHOOL_TEACHER,HOUSE_WIFE,ONE,Good
male,OBC,WA,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,TWO,Good
male,General,WA,SEBA,AHSEC,ENGLISH,Excellent,Vg,OTHERS,HOUSE_WIFE,TWO,Good
male,General,NO,SEBA,AHSEC,OTHERS,Good,Good,SCHOOL_TEACHER,HOUSE_WIFE,TWO,Good
female,OBC,WA,SEBA,AHSEC,ASSAMESE,Excellent,Excellent,OTHERS,SCHOOL_TEACHER,ONE,Good
male,SC,NO,CBSE,CBSE,ENGLISH,Excellent,Excellent,BUSINESS,HOUSE_WIFE,ONE,Good
male,General,WA,SEBA,AHSEC,ENGLISH,Vg,Vg,BUSINESS,HOUSE_WIFE,TWO,Good
male,OBC,WA,CBSE,CBSE,ENGLISH,Vg,Good,BUSINESS,HOUSE_WIFE,TWO,Good
male,General,NO,SEBA,AHSEC,ENGLISH,Vg,Vg,OTHERS,HOUSE_WIFE,TWO,Good
male,General,WA,CBSE,CBSE,ENGLISH,Excellent,Excellent,SCHOOL_TEACHER,SCHOOL_TEACHER,TWO,Good
male,General,WA,SEBA,AHSEC,OTHERS,Vg,Vg,SCHOOL_TEACHER,HOUSE_WIFE,TWO,Good
female,ST,WA,SEBA,AHSEC,OTHERS,Excellent,Excellent,SCHOOL_TEACHER,SCHOOL_TEACHER,ONE,Good
female,General,NO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,SCHOOL_TEACHER,ONE,Good
female,OBC,NO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,OTHERS,ONE,Good
male,SC,NO,CBSE,CBSE,ENGLISH,Excellent,Vg,OTHERS,HOUSE_WIFE,THREE,Good
male,OBC,WA,SEBA,AHSEC,ASSAMESE,Excellent,Vg,OTHERS,HOUSE_WIFE,TWO,Good
female,OBC,WA,SEBA,AHSEC,ENGLISH,Excellent,Vg,OTHERS,HOUSE_WIFE,TWO,Good
male,General,OA,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,SCHOOL_TEACHER,TWO,Good
male,General,NO,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,TWO,Good
male,General,WA,CBSE,CBSE,ENGLISH,Excellent,Vg,BUSINESS,HOUSE_WIFE,TWO,Good
male,SC,WA,CBSE,CBSE,ENGLISH,Excellent,Excellent,CULTIVATOR,HOUSE_WIFE,TWO,Good
male,General,OA,CBSE,CBSE,ENGLISH,Excellent,Excellent,DOCTOR,SCHOOL_TEACHER,ONE,Good
male,General,NO,CBSE,CBSE,ENGLISH,Excellent,Excellent,DOCTOR,HOUSE_WIFE,ONE,Good
male,General,NO,SEBA,AHSEC,OTHERS,Vg,Vg,BUSINESS,HOUSE_WIFE,TWO,Good
male,General,WA,SEBA,AHSEC,OTHERS,Vg,Good,SCHOOL_TEACHER,HOUSE_WIFE,FOUR,Good
female,SC,WA,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,TWO,Good
male,OBC,WA,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,TWO,Good
female,General,WA,SEBA,CBSE,ENGLISH,Excellent,Excellent,BUSINESS,HOUSE_WIFE,ONE,Good
female,General,WA,CBSE,CBSE,ENGLISH,Excellent,Vg,OTHERS,OTHERS,TWO,Good
female,General,WA,SEBA,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,TWO,Good
female,OBC,WA,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,OTHERS,TWO,Good
male,General,WA,CBSE,CBSE,ENGLISH,Excellent,Excellent,BUSINESS,OTHERS,TWO,Good
female,General,NO,SEBA,CBSE,ENGLISH,Excellent,Excellent,SCHOOL_TEACHER,SCHOOL_TEACHER,ONE,Good
female,OBC,WA,SEBA,AHSEC,ENGLISH,Excellent,Vg,OTHERS,HOUSE_WIFE,TWO,Good
male,General,NO,CBSE,CBSE,ENGLISH,Excellent,Vg,BUSINESS,HOUSE_WIFE,ONE,Good
male,General,NO,SEBA,CBSE,ENGLISH,Excellent,Excellent,BUSINESS,HOUSE_WIFE,ONE,Good
female,SC,WA,OTHERS,CBSE,ENGLISH,Excellent,Excellent,DOCTOR,HOUSE_WIFE,ONE,Good
female,OBC,WA,SEBA,AHSEC,ENGLISH,Excellent,Excellent,DOCTOR,HOUSE_WIFE,ONE,Good
female,General,NO,SEBA,CBSE,ENGLISH,Excellent,Vg,BUSINESS,HOUSE_WIFE,TWO,Good
female,OBC,WA,SEBA,AHSEC,ENGLISH,Excellent,Vg,DOCTOR,SCHOOL_TEACHER,TWO,Good
male,General,WA,CBSE,CBSE,ENGLISH,Vg,Good,OTHERS,HOUSE_WIFE,THREE,Good
female,General,NO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,SCHOOL_TEACHER,ONE,Good
male,General,WA,SEBA,AHSEC,OTHERS,Vg,Vg,CULTIVATOR,HOUSE_WIFE,THREE,Good
male,OBC,WA,SEBA,AHSEC,ASSAMESE,Excellent,Excellent,SCHOOL_TEACHER,SCHOOL_TEACHER,TWO,Good
female,General,WA,OTHERS,CBSE,ENGLISH,Excellent,Excellent,BUSINESS,HOUSE_WIFE,ONE,Good
male,General,WA,SEBA,AHSEC,OTHERS,Vg,Vg,SCHOOL_TEACHER,HOUSE_WIFE,THREE,Good
female,General,NO,CBSE,CBSE,ENGLISH,Excellent,Good,BUSINESS,OTHERS,THREE,Good
female,General,WA,CBSE,CBSE,ENGLISH,Excellent,Excellent,BUSINESS,SCHOOL_TEACHER,TWO,Good
male,General,OA,CBSE,CBSE,ENGLISH,Excellent,Vg,SCHOOL_TEACHER,HOUSE_WIFE,TWO,Good
female,ST,NO,SEBA,AHSEC,OTHERS,Excellent,Excellent,OTHERS,HOUSE_WIFE,ONE,Good
female,OBC,OA,OTHERS,CBSE,ENGLISH,Excellent,Excellent,BUSINESS,HOUSE_WIFE,ONE,Good
female,General,WA,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,OTHERS,TWO,Good
male,General,WA,SEBA,AHSEC,ASSAMESE,Excellent,Excellent,DOCTOR,SCHOOL_TEACHER,TWO,Good
female,General,WA,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,TWO,Good
female,SC,NO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,SCHOOL_TEACHER,SCHOOL_TEACHER,ONE,Good
female,General,WA,SEBA,AHSEC,OTHERS,Excellent,Excellent,OTHERS,HOUSE_WIFE,ONE,Good
male,General,WA,SEBA,AHSEC,ENGLISH,Excellent,Vg,SCHOOL_TEACHER,SCHOOL_TEACHER,THREE,Good
male,OBC,NO,SEBA,AHSEC,ENGLISH,Good,Vg,OTHERS,OTHERS,TWO,Good
male,General,WA,SEBA,AHSEC,OTHERS,Vg,Excellent,SCHOOL_TEACHER,HOUSE_WIFE,TWO,Good
male,General,WA,CBSE,CBSE,ENGLISH,Good,Good,SCHOOL_TEACHER,HOUSE_WIFE,THREE,Good
male,SC,WA,SEBA,AHSEC,ASSAMESE,Excellent,Vg,SCHOOL_TEACHER,HOUSE_WIFE,TWO,Good
male,General,WA,SEBA,AHSEC,OTHERS,Good,Vg,SCHOOL_TEACHER,OTHERS,TWO,Good
male,General,NO,SEBA,AHSEC,OTHERS,Excellent,Excellent,SCHOOL_TEACHER,HOUSE_WIFE,ONE,Good
female,General,WA,SEBA,AHSEC,ENGLISH,Excellent,Excellent,BUSINESS,HOUSE_WIFE,ONE,Good
male,General,OA,CBSE,CBSE,ENGLISH,Excellent,Excellent,CULTIVATOR,HOUSE_WIFE,TWO,Good
male,General,OA,CBSE,CBSE,ENGLISH,Excellent,Excellent,DOCTOR,SCHOOL_TEACHER,ONE,Good
male,General,WA,SEBA,AHSEC,OTHERS,Vg,Excellent,OTHERS,SCHOOL_TEACHER,TWO,Good
male,General,WA,CBSE,AHSEC,ENGLISH,Excellent,Excellent,SCHOOL_TEACHER,SCHOOL_TEACHER,TWO,Good
female,OBC,NO,CBSE,CBSE,ENGLISH,Excellent,Vg,OTHERS,OTHERS,ONE,Good
female,OBC,WA,SEBA,AHSEC,ASSAMESE,Excellent,Excellent,DOCTOR,HOUSE_WIFE,TWO,Good
male,General,NO,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,OTHERS,ONE,Good
male,SC,WA,SEBA,AHSEC,OTHERS,Excellent,Excellent,OTHERS,HOUSE_WIFE,ONE,Good
male,General,WA,SEBA,AHSEC,OTHERS,Vg,Vg,OTHERS,HOUSE_WIFE,TWO,Good
male,General,WA,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,ONE,Good
male,OBC,WA,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,ONE,Good
female,General,WA,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,TWO,Good
male,OBC,NO,SEBA,AHSEC,OTHERS,Average,Good,OTHERS,HOUSE_WIFE,TWO,Good
male,General,NO,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,ONE,Good
female,OBC,WA,SEBA,AHSEC,ENGLISH,Vg,Vg,DOCTOR,HOUSE_WIFE,TWO,Good
male,General,NO,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,ONE,Good
male,OBC,WA,SEBA,AHSEC,ASSAMESE,Good,Average,OTHERS,HOUSE_WIFE,THREE,Good
male,OBC,WA,CBSE,CBSE,ENGLISH,Excellent,Vg,OTHERS,SCHOOL_TEACHER,THREE,Good
male,OBC,WA,CBSE,CBSE,ENGLISH,Excellent,Excellent,BUSINESS,HOUSE_WIFE,TWO,Good
male,OBC,NO,CBSE,AHSEC,ASSAMESE,Vg,Good,SCHOOL_TEACHER,HOUSE_WIFE,THREE,Good
female,OBC,WA,SEBA,CBSE,ENGLISH,Excellent,Vg,OTHERS,OTHERS,TWO,Good
male,OBC,NO,SEBA,CBSE,ENGLISH,Excellent,Excellent,BUSINESS,HOUSE_WIFE,ONE,Good
female,OBC,WA,SEBA,AHSEC,ASSAMESE,Excellent,Vg,BUSINESS,OTHERS,FOUR,Good
female,OBC,WA,SEBA,AHSEC,ENGLISH,Vg,Vg,BUSINESS,HOUSE_WIFE,FOUR,Good
female,OBC,WA,SEBA,AHSEC,ENGLISH,Excellent,Vg,OTHERS,HOUSE_WIFE,THREE,Good
female,OBC,WA,SEBA,AHSEC,ASSAMESE,Excellent,Excellent,CULTIVATOR,SCHOOL_TEACHER,TWO,Good
female,OBC,WA,SEBA,AHSEC,ASSAMESE,Excellent,Vg,OTHERS,SCHOOL_TEACHER,THREE,Good
male,OBC,WA,SEBA,AHSEC,ENGLISH,Excellent,Good,SCHOOL_TEACHER,SCHOOL_TEACHER,ONE,Good
male,OBC,NO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,DOCTOR,OTHERS,ONE,Good
male,OBC,WA,CBSE,CBSE,ENGLISH,Good,Excellent,OTHERS,HOUSE_WIFE,THREE,Good
